feedback,sentiment,nps,service_advisor_name,brand_name,branch,date,promoters,passive,detractor,category,topic
Providing all spare parts for each type of car to be repaired from the first visit without the need to return again when the rest of the spare parts are available,positive,5,Nabeel A.,,,2023-08-11,0,0,1,,
"Everything is good
Service is good
Thanks to all",positive,8,Anandhakrishnan,,,2023-08-12,0,1,0,,
Brake shoes or brake pads are not covered under major service of the contract which was not communicated with the customer initially. Try to include these items also in the service contract package for the major service since other dealers are providing the same with the same package price.,negative,6,Kamal Al Saber,,,2023-08-12,0,0,1,,
Please look into the cost of the service as well as the parts as it is very high in comparison to the market.,negative,8,Marla Nunez,,,2023-08-12,0,1,0,,
"I felt first check for 1000 km, that I received anew car , but second check for 10000 km , it was not as I expected.",negative,8,Mohamed ElWazir,,,2023-08-12,0,1,0,,
I would like to take car from my place and to be returned,negative,9,Avtik Raje,,,2023-08-12,1,0,0,,
"They do not provide free maintenance up to 60 km, like other companies.",negative,0,Mohamed ElWazir,,,2023-08-12,0,0,1,,
Everything perfect.,positive,10,Aries M.,,,2023-08-14,1,0,0,,
Thank them honestly,negative,10,Avtik Raje,,,2023-08-14,1,0,0,,
"Great job from the team. 
Thank you",positive,10,Harish V.,,,2023-08-15,1,0,0,,
Make discounted offers for customers,negative,10,Avtik Raje,,,2023-08-15,1,0,0,,
Nothing to add. Everything was perfect. Friendly and efficient service. Refreshments that were served are a bonus.,positive,10,Minas Elie C.,,,2023-08-16,1,0,0,,
Mr faisal al shamsi was really helpful and had all my issues solved. Thank you,positive,10,Faisal AliAhmed,,,2023-08-16,1,0,0,,
"I had a problem in the previous maintenance, and I reported it, and it was not fixed previously, and it was fixed in this maintenance.",negative,10,Avtik Raje,,,2023-08-16,1,0,0,,
"The maintenance took longer than expected, and the car wash workers broke an accessory for the phone and threw it in the car, indicating the amount of negligence and indifference",negative,4,Marla Nunez,,,2023-08-16,0,0,1,,
"I am very dissatisfied with the service 
I have a problem that is that there is an unpleasant smell coming out of the air conditioner in the first 10 seconds of turning on the air conditioner 
They couldn't solve the problem and told me there was no smell and gave me a report 
I ask to look into the subject because the smell is there ",negative,0,Mohammed Osman,,,2023-08-16,0,0,1,,
Kamal showed an excellent care and understanding of the customers requirements,positive,10,Kamal Al Saber,,,2023-08-17,1,0,0,,
Perfect service,positive,9,Salwa Rboub,,,2023-08-17,1,0,0,,
I think double check the car because I’ve noticed that one of the tire pressure cover where you put the air is missing. Simple thing but it matters. I hope you will keep that small black cover because I will definitely comeback to take that because by far the service of Nissan Sanaya Al Ain is the best for me so see you in my next service. Continue to be best.thank you,positive,10,Mohamed Mohsen,,,2023-08-17,1,0,0,,
"There are no comments. I would like to thank the entire maintenance team, especially Mr. Burak, for his good treatment ",negative,10,Abuthahir T.S.,,,2023-08-17,1,0,0,,
I don’t want write anything,negative,0,Mohamed ElWazir,,,2023-08-17,0,0,1,,
Very helpful and great advisor,positive,10,Avtik Raje,,,2023-08-18,1,0,0,,
Service advisor Mr Nabeel is the most efficient guy in his works and appreciate all Nissan team,positive,10,Nabeel A.,,,2023-08-18,1,0,0,,
"Very satisfied, thank you ",positive,10,Mohamed Mohsen,,,2023-08-18,1,0,0,,
Continue your great job,positive,10,Juan Kasilag,,,2023-08-18,1,0,0,,
To inform client that there’s option of picking up for services.,positive,9,Juan Kasilag,,,2023-08-18,1,0,0,,
Nothing thanks,negative,10,Avtik Raje,,,2023-08-18,1,0,0,,
Generally speaking explanation is very poor.,negative,6,Clifford P.,,,2023-08-18,0,0,1,,
Ronaldo was amazing and was very prompt to address all concerns i had. He followed up very well with the technical team and did a very good job.. all the best mate,positive,10,Ronaldo P.,,,2023-08-19,1,0,0,,
Thanks of oll,positive,7,Avtik Raje,,,2023-08-19,0,1,0,,
Providing a free delivery service,positive,10,Faisal AliAhmed,,,2023-08-19,1,0,0,,
"Call me to get the full feedback 
0562282622

Thanks,",positive,1,Nabeel A.,,,2023-08-19,0,0,1,,
The prices are very high compared to other agencies,positive,7,Kamal Al Saber,,,2023-08-19,0,1,0,,
Thank you very much for the advice,positive,10,Mohamed Mohsen,,,2023-08-19,1,0,0,,
Service charge can be reduced for customers satisfaction also spare parts prices,negative,9,Kamal Al Saber,,,2023-08-19,1,0,0,,
"The car was entered due to a malfunction in USP 
But I discovered after receiving it that socket was disabled as well 
Note that before getting the car in, it worked well ",negative,0,Aswad Karim,,,2023-08-19,0,0,1,,
"Detailed explanation of the service provided. 
Another thing, I complained about a problem in the transmission, that was also detected by technician first time, then when I received the car they said no problem was found. They couldn't explain what happened. I explained that I don't want to postpone dealing with the issue , if it's minor issue now to become major. ",negative,8,Khalil Rahman,,,2023-08-19,0,1,0,,
Infotainment system vendor not available on Saturday.,negative,8,Juan Kasilag,,,2023-08-19,0,1,0,,
"I have a question, why are some consumer parts not changed until the end of the warranty? Is it by accident or to avoid paying additional costs by the company. Like a car battery, it was not replaced until two years passed and the warranty expired. Even though the 40,000 test was 4 months ago and the battery was working. But now that the warranty is out, it does not work?!
I am wondering, why consumables parts don't need any repair or change during the warranty or guarantee coverage. But the change is due just next few weeks or months after finishing the warranty or guarantee.",negative,10,Salwa Rboub,,,2023-08-19,1,0,0,,
Excellent service,positive,10,Salwa Rboub,,,2023-08-21,1,0,0,,
Please reduce the prices of spare parts. Thank you very much,positive,9,Ali Musa,,,2023-08-21,1,0,0,,
Best of the best,positive,10,Ronaldo P.,,,2023-08-21,1,0,0,,
"Keep it up..
",positive,10,Ronaldo P.,,,2023-08-21,1,0,0,,
As I informed last time you have to improve the washing,positive,8,Anandhakrishnan,,,2023-08-21,0,1,0,,
"Ac filter and air filter not changed due to non availability ,I don’t know when this will be resolved ",negative,6,Kamal Al Saber,,,2023-08-21,0,0,1,,
"The air conditioner has not been repaired
Others still make a sound
The brakes make a sound",negative,4,Ali Musa,,,2023-08-21,0,0,1,,
"When the vehicle is serviced, the normal tap water is put in the car radiator and the water that is specific to the vehicle's radiator is not put ",negative,2,Mohd Noureldin,,,2023-08-21,0,0,1,,
Need to be more efficient,negative,0,Muhammad Habib,,,2023-08-21,0,0,1,,
I thank employee Barak for the help he gave me when I received the car. Thank you to all the staff and the time was excellent. There is no delay. Thank you,positive,10,Abuthahir T.S.,,,2023-08-22,1,0,0,,
I wish you success and happiness. Thank you,positive,10,Faisal AliAhmed,,,2023-08-22,1,0,0,,
Very good service,positive,10,Nabeel A.,,,2023-08-22,1,0,0,,
The best employee I deal with in a manner and credibility and a deal that deserves promotion and reward Faisal Al Shamsi,positive,10,Faisal AliAhmed,,,2023-08-22,1,0,0,,
Employee Khalil is your best employee,positive,10,Khalil Rahman,,,2023-08-22,1,0,0,,
Thank you Mohamed for the great support,positive,10,Mohammed Osman,,,2023-08-22,1,0,0,,
Good service,positive,10,Mohamed Mohsen,,,2023-08-22,1,0,0,,
Prices and charges are high..,positive,8,Salwa Rboub,,,2023-08-22,0,1,0,,
"The prices are exaggerated in terms of the prices of parts, along with the prices of the repair fee. Some parts that can be repaired abroad cost me 250 dirhams. At the agency, I was asked for 2900 dirhams. Some things were asked to repair them and they did not require repair and I was asked to repair them at the agency",negative,0,Marla Nunez,,,2023-08-22,0,0,1,,
"Reduce the price of all services. 
",negative,8,Khalil Rahman,,,2023-08-22,0,1,0,,
No comments,negative,10,Nabeel A.,,,2023-08-22,1,0,0,,
In the questionnaire these should be an option of “not applicable” as some maybe not applicable.,negative,10,Salwa Rboub,,,2023-08-22,1,0,0,,
Service are good as always,positive,10,Aries M.,,,2023-08-23,1,0,0,,
To improve and make a satisfying with customer,positive,0,Aries M.,,,2023-08-23,0,0,1,,
"Adel is the reason I bought the car.
The exact specifications i want in the car has been brought to me instantly. ",positive,10,Minas Elie C.,,,2023-08-23,1,0,0,,
Thank you for all your proffesional care. Really appreciate it🙏,positive,10,Ronaldo P.,,,2023-08-23,1,0,0,,
"Keep service charges lower as possible 
Provide a transportation service to customers specially in Summer",positive,6,Avtik Raje,,,2023-08-23,0,0,1,,
"Vacuum was done properly under the seats
Still looking for spare parts which is delaying since many weeks.",positive,1,Aries M.,,,2023-08-23,0,0,1,,
Prices are high,positive,8,Avtik Raje,,,2023-08-23,0,1,0,,
The laundry is very unsuccessful,negative,0,Md Sekander,,,2023-08-23,0,0,1,,
My car was making noise the glass area and the car is still under warranty and yet i had to pay,negative,3,Mohamed Mohsen,,,2023-08-23,0,0,1,,
"Reducing the prices of spare parts, which we find themselves outside your agency at much lower prices",negative,10,Mohammed Osman,,,2023-08-23,1,0,0,,
"Stop making mistakes. I have had my car serviced here 6 times and in every case there was some issue or other. I've had to speak to a manager multiple times, had my word called into question and advised that's it's all ok if the problem is then resolved. That is far from the truth, when you consistently get it wrong. I will not be returning to Al Masaoud.",negative,0,Kamal Al Saber,,,2023-08-23,0,0,1,,
Keep up the good work,positive,10,Salwa Rboub,,,2023-08-24,1,0,0,,
"To consider :
-Customer 's satisfaction 
- competition between other agencies ",positive,10,Minas Elie C.,,,2023-08-24,1,0,0,,
"There's still my back voice, as I told the team",positive,7,Mohd Noureldin,,,2023-08-24,0,1,0,,
Reducing the prices of some expensive Wade prices in an agency,positive,9,Aswad Karim,,,2023-08-24,1,0,0,,
